lst,lon,lat,dist_to_industrial,is_industrial,factory_density,power_plant_flag,transport_hub_flag,road_density,impervious_ratio,dist_to_green,dist_to_water
8.39,121.27256335613544,31.863243127719443,2.0193615100302704,0,0.0,0,0,1.6961319157141506,0.0017343905303543192,6.5824520245251135,3.140748900914856
8.283334,121.28154650897663,31.863243127719443,2.092496275012159,0,0.0,0,0,1.8236606311813799,0.0020022008328355006,5.992735722961909,2.5535019508566976
8.502,121.29052966181783,31.863243127719443,2.4094606332141475,0,0.0,0,0,1.8236606311813799,0.0020022008328355006,5.472009343210058,1.8435437339673266
8.555,121.29951281465902,31.863243127719443,2.94582265604067,0,0.0,0,0,1.8746721173682717,0.0020532123190223927,5.041693590703213,1.25772748792875
8.917214,121.30849596750022,31.863243127719443,3.6049462908882566,0,0.0,0,0,1.976695089742055,0.002155235291396176,4.72654532996363,0.7525536180545048
9.056666,121.25459705045304,31.85425997487825,2.1007650412467105,0,0.0,0,0,2.142482419849453,0.002142482419849453,7.381853958418959,2.3156642500338536
9.066667,121.26358020329424,31.85425997487825,1.4184689121901672,0,0.0,0,0,2.167988162942899,0.002167988162942899,6.647056589176481,2.169635342160797
9.095,121.27256335613544,31.85425997487825,1.0278535128328377,0,0.0,0,0,2.333775493050297,0.00234652836459702,5.943140821018914,2.155268735867487
9.095,121.28154650897663,31.85425997487825,1.1334744251166695,0,0.0,0,0,2.410292722330635,0.002588832923984756,5.28246508893254,2.3249148000473054
8.998333,121.29052966181783,31.85425997487825,1.6467765885539407,0,0.0,0,0,2.3082697499568514,0.0024868099516109723,4.683363127189667,2.4984998274825254
9.0,121.29951281465902,31.85425997487825,2.363161627998834,0,0.0,0,0,2.2827640068634056,0.0024613042085175263,4.172441287445101,2.060794514251467
9.0616665,121.30849596750022,31.85425997487825,3.146860161600707,0,0.0,0,0,2.384786979237189,0.00256332718089131,3.7855714284619784,1.543795996864177
8.891666,121.31747912034142,31.85425997487825,3.9580862266643724,0,0.0,0,0,2.576080052438033,0.002754620254092154,3.563387402299607,1.1316443581058255
8.8133335,121.32646227318261,31.85425997487825,4.782851819957411,0,0.0,0,0,2.4740570800642496,0.0026525972817183704,3.537059227159777,0.8933851656492712
9.064546,121.22764759192947,31.845276822037054,4.320456875017052,0,0.0,0,0,1.8874249889149946,0.0018874249889149943,6.774935338405807,1.7671559636309933
9.068334,121.23663074477066,31.845276822037054,3.474176596151745,0,0.0,0,0,2.0532123190223928,0.0020532123190223927,6.883148316672832,1.6204874318991134
9.27,121.24561389761186,31.845276822037054,2.6304526804357855,0,0.0,0,0,2.4230455938773576,0.002423045593877358,7.091338339915647,1.4797238395375722
9.331538,121.25459705045304,31.845276822037054,1.792893544538864,0,0.0,0,0,2.550574309344587,0.002550574309344587,6.962033958787385,1.3345145392860653
9.418333,121.26358020329424,31.845276822037054,0.9653778851728957,0,0.0,0,0,2.6270915386249247,0.0026270915386249244,6.177421078458883,1.1881548039838843
9.295,121.27256335613544,31.845276822037054,0.13842986117540462,0,0.0,0,0,2.7801259971856,0.0027928788687323226,5.412693761809743,1.1765354320656465
9.176666,121.28154650897663,31.845276822037054,0.41844002380229367,0,0.0,0,0,2.8693960980126607,0.0030479362996667816,4.677613662021628,1.3498117219496757
9.151818,121.29052966181783,31.845276822037054,1.2658369216229897,0,0.0,0,0,2.767373125638877,0.002945913327292998,3.9886042298137934,1.5235523094153807
9.151818,121.29951281465902,31.845276822037054,2.1154870004961475,0,0.0,0,0,2.7036087679052625,0.0028821489695593835,3.3740067176643698,1.7207207640186382
9.194,121.30849596750022,31.845276822037054,2.9654517064130594,0,0.0,0,0,2.8438903549192145,0.0030224305565733356,2.881827151232374,1.9588806980005378
9.032222,121.31747912034142,31.845276822037054,3.815518874939209,0,0.0,0,0,3.0606891712135047,0.0032392293728676254,2.5830153433157954,2.025302186207979
8.642,121.32646227318261,31.845276822037054,4.66563095196034,0,0.0,0,0,2.9331604557462754,0.003111700657400396,2.546571890273328,1.888120682965466
9.08,121.33544542602381,31.845276822037054,,0,0.0,0,0,2.7801259971856,0.0029586661988397207,2.7351945138512623,2.0900852113504147
9.404546,121.344428578865,31.845276822037054,,0,0.0,0,0,2.56332718089131,0.002741867382545431,2.5338171589327567,2.547158288928225
9.082727,121.20968128624708,31.836293669195857,,0,0.0,0,0,1.5048388425133064,0.0015048388425133064,5.8986040321558715,1.3047422486429268
9.082727,121.21866443908827,31.836293669195857,,0,0.0,0,0,1.9894479612887779,0.001989447961288778,5.778060074163095,0.9320543193359083
9.625,121.22764759192947,31.836293669195857,4.349310935594261,0,0.0,0,0,2.2572582637699594,0.0022572582637699597,5.781460990678189,0.7861921939198842
9.613077,121.23663074477066,31.836293669195857,3.509903205825976,0,0.0,0,0,2.4740570800642496,0.0024740570800642495,5.9075727857152875,0.6393605205011627
9.606923,121.24561389761186,31.836293669195857,2.677367828894573,0,0.0,0,0,2.8949018411061065,0.0028949018411061063,6.14890970709513,0.49741799867524367
9.63,121.25459705045304,31.836293669195857,1.8609471637253872,0,0.0,0,0,3.21372362977418,0.0032137236297741798,6.493503210549911,0.3533654553260775
9.718333,121.26358020329424,31.836293669195857,1.0972160103731423,0,0.0,0,0,3.4942868038020842,0.003494286803802084,5.819130975816455,0.20699491823001887
9.706667,121.27256335613544,31.836293669195857,0.6245618844280727,0,0.0,0,0,3.723838491643097,0.00373659136318982,5.021054789795168,0.20141434576157172
9.553333,121.28154650897663,31.836293669195857,0.772666556775835,0,0.0,0,0,3.8386143355636038,0.0040171545372177245,4.223715173930923,0.37471077138312014
9.465,121.29052966181783,31.836293669195857,1.474534787104418,0,0.0,0,0,3.813108592470158,0.003991648794124279,3.4450107069552423,0.5486069179761095
9.523334,121.29951281465902,31.836293669195857,2.279774566002148,0,0.0,0,0,3.8768729502037726,0.004055413151857893,2.7097290115893795,0.7643893288958337
9.6845455,121.30849596750022,31.836293669195857,3.104061606195239,0,0.0,0,0,3.991648794124279,0.0041701889957784,2.0647887965773974,1.003167837121907
9.1883335,121.31747912034142,31.836293669195857,3.928611840383845,0,0.0,0,0,4.208447610418569,0.00438698781207269,1.6218040903193107,1.2427907811916472
9.1883335,121.32646227318261,31.836293669195857,4.758635838610561,0,0.0,0,0,3.991648794124279,0.0041701889957784,1.5631071524415956,1.4896671799169352
9.023334,121.33544542602381,31.836293669195857,,0,0.0,0,0,3.8258614640168807,0.004004401665671001,1.7694122792901796,1.697430469294163
9.338889,121.344428578865,31.836293669195857,,0,0.0,0,0,3.532545418442253,0.0037110856200963742,1.9933951297962649,1.8996300167716613
8.686923,121.3534117317062,31.836293669195857,,0,0.0,0,0,3.2009707582274567,0.003379510959881578,1.2728549534529645,2.1053874629004956
8.566,121.3623948845474,31.836293669195857,,0,0.0,0,0,2.792878868732323,0.002971419070386444,0.6472414864721453,2.3117349704970764
9.175454,121.20069813340588,31.827310516354665,,0,0.0,0,0,1.8109077596346568,0.0018109077596346569,5.211332800491815,0.9807710705397966
9.862727,121.20968128624708,31.827310516354665,,0,0.0,0,0,1.9256836035551632,0.0019256836035551632,4.929839678185952,0.4896036899202315
10.098333,121.21866443908827,31.827310516354665,,0,0.0,0,0,2.56332718089131,0.00256332718089131,4.7849418692445544,0.001129688322370405
9.879091,121.22764759192947,31.827310516354665,4.59899950174443,0,0.0,0,0,2.805631740279046,0.002805631740279046,4.789052356014037,0.12312524821412671
9.879091,121.23663074477066,31.827310516354665,3.8148478349085013,0,0.0,0,0,3.1627121435872882,0.0031627121435872877,4.940170394757645,0.2703843523953601
9.846,121.24561389761186,31.827310516354665,3.066175936521754,0,0.0,0,0,3.6983327485496513,0.003698332748549651,5.226401876626015,0.41639146781995645
9.744,121.25459705045304,31.827310516354665,2.3866071785194336,0,0.0,0,0,4.131930381138231,0.004131930381138231,5.6278085136600975,0.5622104056103275
9.62,121.26358020329424,31.827310516354665,1.8537598944734717,0,0.0,0,0,4.514516527539919,0.004514516527539919,5.520136304892925,0.7069184353691569
9.858334,121.27256335613544,31.827310516354665,1.6133838861104097,0,0.0,0,0,4.795079701567824,0.004795079701567824,4.695038009262708,0.7033899506511225
9.745,121.28154650897663,31.827310516354665,1.660878943121701,0,0.0,0,0,4.960867031675222,0.005139407233329343,3.8808928440780095,0.526254215475904
9.6,121.29052966181783,31.827310516354665,2.082283270744281,0,0.0,0,0,4.833338316207993,0.005011878517862113,3.081130513937683,0.35121280284674866
9.64,121.29951281465902,31.827310516354665,2.7128045564727077,0,0.0,0,0,4.833338316207993,0.005011878517862113,2.2830591719928943,0.11753519313751214
9.71,121.30849596750022,31.827310516354665,3.4392904851544723,0,0.0,0,0,4.922608417035053,0.005101148618689174,1.485199692223544,0.047457370998464886
9.58,121.31747912034142,31.827310516354665,4.212377060938885,0,0.0,0,0,5.152160104876066,0.0053307003065301865,0.7566785694805427,0.2872688923410922
9.455,121.32646227318261,31.827310516354665,5.010538742158996,0,0.0,0,0,4.948114160128499,0.00512665436178262,0.5958069763446949,0.5278457818200306
9.234615,121.33544542602381,31.827310516354665,,0,0.0,0,0,4.82058544466127,0.00499912564631539,0.8036322943465926,0.7300004481049889
9.234615,121.344428578865,31.827310516354665,,0,0.0,0,0,4.3869878120726895,0.004565528013726811,1.1267990349032915,0.9328634521537279
9.4253845,121.3534117317062,31.827310516354665,,0,0.0,0,0,3.9788959225775558,0.004157436124231677,1.034347601189099,1.1391665345479844
8.874286,121.3623948845474,31.827310516354665,,0,0.0,0,0,3.4305224460684696,0.0036090626477225905,0.19762559378494365,1.345537191483796
